Stock_ID,Medicine_ID,Medicine_Name,Batch_Number,Quantity,Reorder_Level,Stock_Status,Expiry_Date,Supplier,Purchase_Price_INR,Storage_Location,Last_Updated
STK00001,MED00001,Paracetamol 500mg,BAT257720,451,60,In Stock,2027-06-24,Apollo Distributors,491.05,Rack-7 / Shelf-8,2026-01-02
STK00002,MED00002,Amoxicillin 250mg,BAT244072,390,55,In Stock,2027-09-11,Apollo Distributors,530.73,Rack-17 / Shelf-6,2026-01-03
STK00003,MED00003,Cetirizine 10mg,BAT248382,230,30,In Stock,2027-03-30,City Medical Supply,38.89,Rack-1 / Shelf-2,2025-09-07
STK00004,MED00004,Ibuprofen 400mg,BAT255235,355,63,In Stock,2027-09-24,HealthKart Pharma,524.2,Rack-7 / Shelf-7,2026-07-12
STK00005,MED00005,Omeprazole 20mg,BAT243857,5,36,Low Stock,2028-08-25,MedPlus Wholesale,234.36,Rack-15 / Shelf-8,2025-12-07
STK00006,MED00006,Metformin 500mg,BAT258070,34,25,In Stock,2028-07-02,MedPlus Wholesale,501.8,Rack-15 / Shelf-3,2025-12-02
STK00007,MED00007,Azithromycin 500mg,BAT245387,420,37,In Stock,2027-02-20,Apollo Distributors,428.04,Rack-6 / Shelf-5,2026-05-29
STK00008,MED00008,Pantoprazole 40mg,BAT252907,273,67,In Stock,2027-02-18,Apollo Distributors,472.6,Rack-1 / Shelf-5,2026-05-14
STK00009,MED00009,Amlodipine 5mg,BAT245930,225,42,In Stock,2027-04-08,Apollo Distributors,625.74,Rack-18 / Shelf-4,2025-12-17
STK00010,MED00010,Atorvastatin 10mg,BAT260900,356,23,In Stock,2028-12-07,City Medical Supply,451.58,Rack-4 / Shelf-7,2025-08-12
STK00011,MED00011,Montelukast 10mg,BAT241817,157,48,In Stock,2028-05-03,Apollo Distributors,41.68,Rack-13 / Shelf-4,2025-04-12
STK00012,MED00012,Levocetirizine 5mg,BAT247916,127,43,In Stock,2027-03-22,Apollo Distributors,19.1,Rack-1 / Shelf-1,2026-02-09
STK00013,MED00013,Vitamin D3 60000IU,BAT242170,420,32,In Stock,2027-04-12,Apollo Distributors,559.47,Rack-6 / Shelf-3,2026-07-09
STK00014,MED00014,ORS Sachet,BAT243628,212,52,In Stock,2028-12-12,HealthKart Pharma,231.29,Rack-7 / Shelf-4,2025-04-09
STK00015,MED00015,Dolo 650mg,BAT254120,277,45,In Stock,2026-12-31,MedPlus Wholesale,155.94,Rack-12 / Shelf-6,2026-05-04
STK00016,MED00016,Cough Syrup 100ml,BAT250462,7,45,Low Stock,2026-09-11,Wellness Distributors,155.24,Rack-8 / Shelf-2,2025-08-29
STK00017,MED00017,Calcium 500mg,BAT260544,417,37,In Stock,2027-09-11,Apollo Distributors,54.59,Rack-7 / Shelf-7,2026-02-27
STK00018,MED00018,Losartan 50mg,BAT256470,392,58,In Stock,2026-12-12,City Medical Supply,555.55,Rack-19 / Shelf-3,2026-03-25
STK00019,MED00019,Rabeprazole 20mg,BAT259756,491,26,In Stock,2027-07-28,Wellness Distributors,477.11,Rack-5 / Shelf-6,2026-05-03
STK00020,MED00020,Salbutamol 4mg,BAT250519,325,68,In Stock,2028-07-12,Wellness Distributors,54.72,Rack-1 / Shelf-8,2026-01-17
STK00021,MED00021,Paracetamol 500mg,BAT247716,261,60,In Stock,2028-01-27,City Medical Supply,495.6,Rack-1 / Shelf-4,2026-07-21
STK00022,MED00022,Amoxicillin 250mg,BAT244165,315,68,In Stock,2027-07-12,MedPlus Wholesale,518.64,Rack-8 / Shelf-2,2026-07-01
STK00023,MED00023,Cetirizine 10mg,BAT256442,70,43,In Stock,2027-06-29,MedPlus Wholesale,112.96,Rack-7 / Shelf-1,2026-04-01
STK00024,MED00024,Ibuprofen 400mg,BAT259697,472,66,In Stock,2027-11-27,HealthKart Pharma,100.91,Rack-11 / Shelf-1,2025-11-07
STK00025,MED00025,Omeprazole 20mg,BAT249552,405,46,In Stock,2028-10-06,Apollo Distributors,166.47,Rack-11 / Shelf-6,2026-03-29
STK00026,MED00026,Metformin 500mg,BAT241871,105,54,In Stock,2028-07-10,MedPlus Wholesale,562.6,Rack-8 / Shelf-7,2025-11-07
STK00027,MED00027,Azithromycin 500mg,BAT254595,164,31,In Stock,2028-06-04,Apollo Distributors,52.71,Rack-16 / Shelf-2,2025-03-30
STK00028,MED00028,Pantoprazole 40mg,BAT260886,98,23,In Stock,2027-01-21,MedPlus Wholesale,94.89,Rack-6 / Shelf-4,2026-04-02
STK00029,MED00029,Amlodipine 5mg,BAT254067,259,25,In Stock,2028-09-10,Wellness Distributors,223.53,Rack-7 / Shelf-4,2025-12-26
STK00030,MED00030,Atorvastatin 10mg,BAT248258,90,58,In Stock,2027-07-06,HealthKart Pharma,406.88,Rack-7 / Shelf-5,2025-05-16
STK00031,MED00031,Montelukast 10mg,BAT242721,400,50,In Stock,2027-09-02,Wellness Distributors,269.38,Rack-16 / Shelf-8,2025-12-27
STK00032,MED00032,Levocetirizine 5mg,BAT254302,258,59,In Stock,2028-10-16,MedPlus Wholesale,575.17,Rack-16 / Shelf-1,2025-07-06
STK00033,MED00033,Vitamin D3 60000IU,BAT242827,195,47,In Stock,2028-10-15,HealthKart Pharma,419.87,Rack-5 / Shelf-3,2026-03-22
STK00034,MED00034,ORS Sachet,BAT250122,194,49,In Stock,2027-12-07,HealthKart Pharma,267.6,Rack-20 / Shelf-8,2026-06-25
