Notification_ID,Title,Description,Type,Priority,Date,Time,Status,Related_ID,Created_By
NTF00001,New Prescription Added,New prescription added for patient P1246.,Prescription,High,2026-06-29,13:30,Unread,P1276,Pharmacist
NTF00002,Appointment Reminder,Patient P1304 has an appointment today.,Appointment,Low,2026-05-31,21:00,Read,P1194,Pharmacist
NTF00003,System Update,System maintenance and backup completed successfully.,System,High,2026-07-31,07:30,Read,P1250,Pharmacist
NTF00004,System Update,System maintenance and backup completed successfully.,System,Low,2026-07-02,13:15,Read,P1392,Admin
NTF00005,System Update,System maintenance and backup completed successfully.,System,High,2026-07-13,19:00,Read,P1248,System
NTF00006,Appointment Reminder,Patient P1169 has an appointment today.,Appointment,Low,2026-07-03,11:00,Read,P1465,Admin
NTF00007,Medicine Expiring Soon,Vitamin D3 60000IU will expire within 25 days.,Expiry Alert,Low,2026-07-13,16:00,Read,P1279,Admin
NTF00008,Low Stock Alert,Omeprazole 20mg stock is running low.,Stock Alert,Low,2026-07-11,11:45,Read,P1266,System
NTF00009,Medicine Expiring Soon,Cetirizine 10mg will expire within 19 days.,Expiry Alert,High,2026-06-04,18:45,Read,P1435,Admin
NTF00010,New Prescription Added,New prescription added for patient P1347.,Prescription,Medium,2026-05-25,16:30,Unread,P1458,Admin
NTF00011,System Update,System maintenance and backup completed successfully.,System,Low,2026-06-04,16:00,Unread,P1083,System
NTF00012,Medicine Expiring Soon,Cough Syrup 100ml will expire within 5 days.,Expiry Alert,High,2026-06-26,15:45,Unread,P1214,Admin
NTF00013,System Update,System maintenance and backup completed successfully.,System,Low,2026-07-19,15:00,Read,P1222,System
NTF00014,Appointment Reminder,Patient P1109 has an appointment today.,Appointment,Low,2026-05-05,20:30,Unread,P1442,System
NTF00015,Medicine Expiring Soon,ORS Sachet will expire within 8 days.,Expiry Alert,High,2026-07-10,16:45,Unread,P1427,Admin
NTF00016,Appointment Reminder,Patient P1419 has an appointment today.,Appointment,High,2026-06-08,08:45,Unread,P1312,Admin
NTF00017,Low Stock Alert,Cough Syrup 100ml stock is running low.,Stock Alert,Low,2026-05-28,08:00,Read,P1270,Pharmacist
NTF00018,Daily Sales Report,Daily sales and inventory report is now available.,Report,Low,2026-05-10,16:00,Unread,P1272,System
NTF00019,Daily Sales Report,Daily sales and inventory report is now available.,Report,High,2026-07-17,19:15,Read,P1256,System
NTF00020,Appointment Reminder,Patient P1253 has an appointment today.,Appointment,Medium,2026-07-07,19:15,Read,P1200,System
NTF00021,High Risk Fraud Alert,Suspicious claim detected for Claim ID CLM2407708.,Fraud Alert,High,2026-06-08,21:00,Read,P1040,Admin
NTF00022,System Update,System maintenance and backup completed successfully.,System,Low,2026-06-19,11:00,Read,P1159,Pharmacist
NTF00023,System Update,System maintenance and backup completed successfully.,System,High,2026-06-30,14:15,Unread,P1384,Admin
NTF00024,New Prescription Added,New prescription added for patient P1265.,Prescription,Medium,2026-05-28,10:30,Unread,P1463,System
NTF00025,Daily Sales Report,Daily sales and inventory report is now available.,Report,Low,2026-05-17,15:00,Read,P1247,Admin
NTF00026,Daily Sales Report,Daily sales and inventory report is now available.,Report,High,2026-05-15,17:15,Read,P1467,Admin
NTF00027,High Risk Fraud Alert,Suspicious claim detected for Claim ID CLM2407985.,Fraud Alert,Medium,2026-07-18,14:30,Read,P1427,Pharmacist
NTF00028,Daily Sales Report,Daily sales and inventory report is now available.,Report,Low,2026-07-08,12:00,Unread,P1427,Admin
NTF00029,High Risk Fraud Alert,Suspicious claim detected for Claim ID CLM2407432.,Fraud Alert,High,2026-07-18,20:15,Read,P1208,System
NTF00030,Medicine Expiring Soon,Losartan 50mg will expire within 14 days.,Expiry Alert,High,2026-05-19,16:30,Unread,P1133,System
NTF00031,High Risk Fraud Alert,Suspicious claim detected for Claim ID CLM2407213.,Fraud Alert,Low,2026-05-21,11:30,Read,P1049,Admin
NTF00032,Appointment Reminder,Patient P1112 has an appointment today.,Appointment,High,2026-05-15,10:00,Unread,P1307,Admin
NTF00033,System Update,System maintenance and backup completed successfully.,System,Low,2026-06-18,19:00,Unread,P1357,Pharmacist
NTF00034,New Prescription Added,New prescription added for patient P1186.,Prescription,Low,2026-05-24,14:15,Unread,P1469,Pharmacist
NTF00035,Medicine Expiring Soon,Losartan 50mg will expire within 25 days.,Expiry Alert,Low,2026-05-15,20:15,Read,P1236,Admin
NTF00036,Daily Sales Report,Daily sales and inventory report is now available.,Report,High,2026-06-19,17:00,Unread,P1206,Pharmacist
NTF00037,Medicine Expiring Soon,Cetirizine 10mg will expire within 30 days.,Expiry Alert,High,2026-07-04,16:45,Read,P1479,Admin
NTF00038,Appointment Reminder,Patient P1015 has an appointment today.,Appointment,Medium,2026-05-04,09:00,Unread,P1337,System
NTF00039,Daily Sales Report,Daily sales and inventory report is now available.,Report,Medium,2026-07-30,18:15,Unread,P1068,Pharmacist
NTF00040,Low Stock Alert,Metformin 500mg stock is running low.,Stock Alert,Low,2026-06-27,08:15,Read,P1211,Pharmacist
NTF00041,Low Stock Alert,Metformin 500mg stock is running low.,Stock Alert,Low,2026-07-01,13:30,Unread,P1462,System
NTF00042,Medicine Expiring Soon,Losartan 50mg will expire within 5 days.,Expiry Alert,Low,2026-06-22,11:30,Read,P1152,Pharmacist
NTF00043,High Risk Fraud Alert,Suspicious claim detected for Claim ID CLM2407874.,Fraud Alert,Medium,2026-07-12,17:00,Read,P1355,Admin
NTF00044,Low Stock Alert,Levocetirizine 5mg stock is running low.,Stock Alert,High,2026-05-03,16:30,Unread,P1211,Admin
NTF00045,Daily Sales Report,Daily sales and inventory report is now available.,Report,High,2026-07-16,17:45,Read,P1173,Admin
NTF00046,New Prescription Added,New prescription added for patient P1005.,Prescription,Low,2026-05-19,11:00,Unread,P1254,Admin
NTF00047,Low Stock Alert,Salbutamol 4mg stock is running low.,Stock Alert,Low,2026-05-13,18:00,Read,P1240,System
NTF00048,New Prescription Added,New prescription added for patient P1160.,Prescription,Low,2026-07-14,11:30,Read,P1351,Pharmacist
NTF00049,System Update,System maintenance and backup completed successfully.,System,High,2026-05-27,21:15,Unread,P1441,System
NTF00050,Daily Sales Report,Daily sales and inventory report is now available.,Report,High,2026-07-28,17:15,Unread,P1197,Admin
NTF00051,System Update,System maintenance and backup completed successfully.,System,Medium,2026-07-08,18:15,Read,P1325,System
NTF00052,Low Stock Alert,Cough Syrup 100ml stock is running low.,Stock Alert,Medium,2026-06-13,13:45,Read,P1397,System
NTF00053,System Update,System maintenance and backup completed successfully.,System,Medium,2026-07-02,10:45,Read,P1292,Admin
NTF00054,Medicine Expiring Soon,Cetirizine 10mg will expire within 22 days.,Expiry Alert,Low,2026-07-07,16:00,Read,P1402,Admin
NTF00055,Low Stock Alert,Amlodipine 5mg stock is running low.,Stock Alert,Low,2026-05-12,20:15,Unread,P1002,Admin
NTF00056,Appointment Reminder,Patient P1345 has an appointment today.,Appointment,High,2026-05-27,18:15,Unread,P1210,System
NTF00057,Low Stock Alert,Atorvastatin 10mg stock is running low.,Stock Alert,Low,2026-05-26,15:15,Read,P1132,System
NTF00058,Appointment Reminder,Patient P1190 has an appointment today.,Appointment,High,2026-05-25,13:45,Unread,P1375,System
NTF00059,System Update,System maintenance and backup completed successfully.,System,Medium,2026-06-15,19:30,Read,P1146,System
NTF00060,Daily Sales Report,Daily sales and inventory report is now available.,Report,Low,2026-07-09,13:15,Unread,P1176,System
NTF00061,Appointment Reminder,Patient P1138 has an appointment today.,Appointment,High,2026-06-18,20:00,Unread,P1084,Pharmacist
NTF00062,Daily Sales Report,Daily sales and inventory report is now available.,Report,Low,2026-05-13,12:30,Unread,P1432,Pharmacist
NTF00063,High Risk Fraud Alert,Suspicious claim detected for Claim ID CLM2407009.,Fraud Alert,High,2026-05-20,13:45,Unread,P1168,System
NTF00064,New Prescription Added,New prescription added for patient P1308.,Prescription,High,2026-06-01,13:30,Read,P1133,Admin
NTF00065,Medicine Expiring Soon,Losartan 50mg will expire within 18 days.,Expiry Alert,High,2026-07-31,07:30,Unread,P1070,Pharmacist
NTF00066,System Update,System maintenance and backup completed successfully.,System,Medium,2026-07-04,21:30,Unread,P1379,Pharmacist
NTF00067,System Update,System maintenance and backup completed successfully.,System,Low,2026-06-10,17:45,Unread,P1221,Admin
NTF00068,System Update,System maintenance and backup completed successfully.,System,Low,2026-05-14,16:30,Unread,P1009,Admin
NTF00069,Daily Sales Report,Daily sales and inventory report is now available.,Report,High,2026-06-03,18:00,Unread,P1300,System
NTF00070,Medicine Expiring Soon,Amlodipine 5mg will expire within 21 days.,Expiry Alert,Medium,2026-07-21,08:00,Read,P1409,Pharmacist
NTF00071,New Prescription Added,New prescription added for patient P1408.,Prescription,Low,2026-06-04,08:30,Unread,P1246,Admin
NTF00072,Appointment Reminder,Patient P1222 has an appointment today.,Appointment,Low,2026-06-20,07:30,Read,P1278,Pharmacist
NTF00073,System Update,System maintenance and backup completed successfully.,System,Medium,2026-07-29,17:00,Unread,P1252,Pharmacist
NTF00074,New Prescription Added,New prescription added for patient P1134.,Prescription,Low,2026-05-05,09:15,Unread,P1356,System
NTF00075,New Prescription Added,New prescription added for patient P1313.,Prescription,Low,2026-06-06,16:30,Read,P1453,Admin
NTF00076,New Prescription Added,New prescription added for patient P1389.,Prescription,High,2026-05-10,12:45,Unread,P1439,Pharmacist
NTF00077,System Update,System maintenance and backup completed successfully.,System,High,2026-05-30,12:30,Read,P1070,Pharmacist
NTF00078,Daily Sales Report,Daily sales and inventory report is now available.,Report,Medium,2026-07-09,19:45,Read,P1242,Pharmacist
NTF00079,System Update,System maintenance and backup completed successfully.,System,Low,2026-07-10,21:30,Unread,P1064,Admin
NTF00080,Medicine Expiring Soon,Omeprazole 20mg will expire within 12 days.,Expiry Alert,High,2026-05-05,20:15,Unread,P1447,Pharmacist
NTF00081,Appointment Reminder,Patient P1220 has an appointment today.,Appointment,Low,2026-07-09,19:45,Unread,P1264,System
NTF00082,Daily Sales Report,Daily sales and inventory report is now available.,Report,Medium,2026-06-30,15:30,Read,P1389,Pharmacist
NTF00083,Appointment Reminder,Patient P1441 has an appointment today.,Appointment,Low,2026-07-25,17:45,Read,P1166,Pharmacist
NTF00084,New Prescription Added,New prescription added for patient P1114.,Prescription,High,2026-07-21,07:00,Read,P1225,Pharmacist
NTF00085,System Update,System maintenance and backup completed successfully.,System,Medium,2026-05-16,12:00,Read,P1001,Admin
NTF00086,Daily Sales Report,Daily sales and inventory report is now available.,Report,Low,2026-06-14,09:45,Unread,P1180,Pharmacist
NTF00087,Appointment Reminder,Patient P1389 has an appointment today.,Appointment,Medium,2026-07-25,21:15,Unread,P1168,Admin
NTF00088,Low Stock Alert,Amoxicillin 250mg stock is running low.,Stock Alert,High,2026-06-07,10:30,Unread,P1349,Admin
NTF00089,Low Stock Alert,Salbutamol 4mg stock is running low.,Stock Alert,Medium,2026-06-10,15:45,Read,P1120,System
NTF00090,System Update,System maintenance and backup completed successfully.,System,High,2026-05-06,09:15,Read,P1190,Admin
NTF00091,Daily Sales Report,Daily sales and inventory report is now available.,Report,Medium,2026-07-20,14:00,Unread,P1452,System
