Record_ID,Date,Total_Sales_INR,Medicines_Sold,New_Patients,Stock_Alerts,Prescriptions,Consultations,Active_Patients,Low_Stock_Items,Out_Of_Stock_Items,Top_Selling_Medicine
DASH0001,2025-08-01,59905,137,23,25,60,30,928,9,11,Ibuprofen 400mg
DASH0002,2025-08-02,62348,124,74,3,28,20,923,12,8,Salbutamol 4mg
DASH0003,2025-08-03,19739,181,89,15,53,43,1303,13,12,Paracetamol 500mg
DASH0004,2025-08-04,28463,296,63,10,44,28,1481,15,1,Cetirizine 10mg
DASH0005,2025-08-05,42898,129,65,29,69,53,970,30,0,Dolo 650mg
DASH0006,2025-08-06,53142,143,68,4,95,33,1343,24,5,Rabeprazole 20mg
DASH0007,2025-08-07,30601,115,25,23,54,64,996,7,3,Ibuprofen 400mg
DASH0008,2025-08-08,42911,222,78,22,71,25,1079,16,3,Amlodipine 5mg
DASH0009,2025-08-09,63994,116,41,19,56,25,1173,17,4,Losartan 50mg
DASH0010,2025-08-10,32392,246,27,9,29,66,1023,17,4,Cetirizine 10mg
DASH0011,2025-08-11,31826,241,47,22,88,40,1358,19,2,Amlodipine 5mg
DASH0012,2025-08-12,27150,206,88,10,99,42,1297,17,5,Pantoprazole 40mg
DASH0013,2025-08-13,27065,340,83,4,31,70,812,9,10,Metformin 500mg
DASH0014,2025-08-14,62596,296,28,14,73,53,1179,21,4,Losartan 50mg
DASH0015,2025-08-15,18752,138,88,26,59,64,1356,15,1,Atorvastatin 10mg
DASH0016,2025-08-16,46492,160,78,2,58,47,1480,10,8,Ibuprofen 400mg
DASH0017,2025-08-17,58979,232,84,21,50,24,1082,29,2,Losartan 50mg
DASH0018,2025-08-18,52757,80,61,17,27,22,1071,33,12,Atorvastatin 10mg
DASH0019,2025-08-19,33692,109,50,30,97,75,780,7,11,Cough Syrup 100ml
DASH0020,2025-08-20,22535,144,36,23,85,75,1262,10,4,Calcium 500mg
DASH0021,2025-08-21,57753,296,47,19,50,60,1019,17,10,Levocetirizine 5mg
DASH0022,2025-08-22,46711,344,77,5,56,29,765,15,0,Rabeprazole 20mg
