Report_ID,Report_Date,Report_Type,Period,Total_Sales_INR,Medicines_Sold,Patients_Handled,Prescriptions_Processed,Stock_Alerts,Expired_Items,Fraud_Risk_Alerts,Generated_By,Report_Status
REP00001,2025-08-26,Expiry,Daily,26848,208,111,108,9,11,7,Dr. Anil Verma,Generated
REP00002,2025-12-08,Sales,Monthly,34331,152,32,48,19,2,2,Dr. Priya Nair,Generated
REP00003,2025-12-20,Sales,Monthly,47077,128,97,81,23,0,7,Dr. Rajesh Patel,Reviewed
REP00004,2026-06-10,Patient,Monthly,66648,407,37,126,30,12,7,Dr. Priya Nair,Generated
REP00005,2026-01-14,Inventory,Weekly,32501,254,108,51,18,13,6,System,Generated
REP00006,2026-02-04,Patient,Monthly,18525,163,87,32,15,11,5,Dr. Meera Shah,Pending Review
REP00007,2025-06-05,Sales,Monthly,67190,89,92,39,8,15,3,Dr. Amit Kumar,Generated
REP00008,2026-02-27,Patient,Daily,59510,246,93,33,27,4,4,Dr. Sunil Joshi,Reviewed
REP00009,2025-08-20,Fraud,Weekly,19564,183,63,32,10,12,8,Dr. Neha Singh,Reviewed
REP00010,2025-06-14,Sales,Weekly,28291,385,120,61,0,5,5,Dr. Rajesh Patel,Pending Review
REP00011,2025-11-14,Patient,Monthly,74597,55,72,93,25,13,0,Dr. Sunil Joshi,Reviewed
REP00012,2026-03-21,Financial,Monthly,30198,359,113,112,28,11,7,Dr. Meera Shah,Pending Review
REP00013,2025-03-21,Expiry,Daily,38440,267,78,107,24,2,2,Dr. Amit Kumar,Reviewed
REP00014,2025-04-02,Financial,Monthly,48795,151,75,114,29,13,0,Dr. Kavita Rao,Reviewed
REP00015,2026-07-11,Sales,Weekly,75325,237,16,123,23,8,6,Dr. Meera Shah,Pending Review
REP00016,2026-03-02,Fraud,Daily,86139,186,32,47,22,13,0,Dr. Kavita Rao,Reviewed
REP00017,2026-03-01,Financial,Daily,29638,232,103,14,34,12,3,Dr. Rajesh Patel,Generated
REP00018,2025-10-31,Sales,Daily,33958,374,73,65,17,11,7,Admin,Generated
REP00019,2025-04-17,Fraud,Monthly,83623,341,68,15,4,10,5,Dr. Amit Kumar,Generated
REP00020,2025-09-23,Financial,Monthly,28254,245,75,102,5,10,4,Dr. Anil Verma,Reviewed
REP00021,2026-07-20,Inventory,Monthly,48666,419,93,105,5,13,1,Dr. Priya Nair,Pending Review
REP00022,2026-03-20,Expiry,Monthly,82376,326,119,111,15,1,5,Admin,Reviewed
REP00023,2026-04-12,Fraud,Weekly,51016,432,98,109,11,8,8,Pharmacist,Generated
REP00024,2025-09-25,Patient,Daily,52344,189,10,62,13,0,6,Pharmacist,Generated
REP00025,2026-03-13,Expiry,Weekly,56701,99,38,38,1,10,3,Dr. Neha Singh,Pending Review
REP00026,2026-03-06,Financial,Monthly,75377,351,63,91,21,12,7,System,Generated
REP00027,2026-02-06,Expiry,Weekly,60398,277,29,69,31,6,8,Dr. Rajesh Patel,Pending Review
REP00028,2026-01-13,Expiry,Weekly,19229,388,119,83,5,15,8,Dr. Meera Shah,Generated
REP00029,2026-04-16,Financial,Monthly,63390,205,47,106,20,14,7,Dr. Amit Kumar,Generated
REP00030,2025-09-15,Prescription,Daily,61088,339,65,63,1,9,8,Dr. Kavita Rao,Generated
REP00031,2026-01-20,Prescription,Daily,64601,360,118,25,6,12,3,Dr. Priya Nair,Generated
REP00032,2025-10-12,Expiry,Daily,35855,442,109,104,25,13,5,Dr. Priya Nair,Reviewed
REP00033,2025-04-26,Prescription,Weekly,56864,444,56,90,6,10,8,System,Pending Review
REP00034,2026-01-12,Inventory,Weekly,79858,437,69,46,28,5,2,Dr. Anil Verma,Reviewed
REP00035,2026-07-30,Prescription,Weekly,75820,385,32,97,6,12,6,Dr. Anil Verma,Reviewed
REP00036,2026-04-26,Financial,Daily,44385,120,88,89,32,2,6,Dr. Amit Kumar,Reviewed
REP00037,2025-09-22,Inventory,Daily,89620,370,70,97,5,11,0,Admin,Pending Review
REP00038,2026-01-13,Prescription,Monthly,40301,132,68,57,15,5,7,Dr. Priya Nair,Reviewed
REP00039,2026-05-25,Expiry,Daily,19048,155,83,69,29,7,7,Dr. Priya Nair,Generated
REP00040,2025-03-20,Patient,Monthly,29569,359,117,52,10,7,7,Dr. Neha Singh,Generated
REP00041,2025-07-13,Sales,Monthly,68260,316,70,120,24,2,6,Dr. Sunil Joshi,Pending Review
REP00042,2025-10-29,Sales,Monthly,85014,415,13,66,30,1,4,Dr. Anil Verma,Pending Review
REP00043,2025-07-03,Sales,Weekly,67354,416,75,90,28,13,1,Dr. Neha Singh,Generated
REP00044,2025-05-24,Expiry,Monthly,29651,419,31,56,26,10,2,Dr. Priya Nair,Reviewed
REP00045,2026-04-15,Expiry,Daily,58257,378,98,19,29,15,3,Dr. Sunil Joshi,Reviewed
REP00046,2026-03-02,Financial,Weekly,58340,280,99,43,17,1,2,Dr. Rajesh Patel,Pending Review
REP00047,2026-03-06,Sales,Daily,63608,338,56,101,18,9,2,Admin,Pending Review
